id,ean,title,description,name,size,type,price,color,DO,blocked
1226,,La Fou els Amelers," Garnacha blanca. Crianza de 6 meses, con sus lías, en depósitos de hormigón.",La Fou els Amelers,750ml,Garnacha blanca,27.5,blanco,DO TERRA ALTA,true
1227,,L' Efecte volador,"Garnacha blanca. en 
Crianza de 5 meses en depósitos de acero",L' Efecte volador,750ml,Garnacha blanca,19.8,blanco,DO MONTSANT,true
1228,,Dido,"Macabeo, Garnacha blanca , Xarel.lo de agricultura ecológica.  Crianza durante 10 meses en botas de roble francés.",Dido,750ml,Macabeo,34.9,blanco,DO MONTSANT,true
1229,,Abadal,"100% Picapoll.
Crianza durante 3 meses con sus lías.",Abadal,750ml,Picapoll,23.9,blanco,DO PLA DE BAGES,true
1230,,Les Brugueres,"Garnacha blanca.
Crianza durante 5 meses con sus lías.",Les Brugueres,750ml,Garnacha blanca,31,blanco,DOQ PRIORAT,true
1231,,La tortuga veloz,"100% Verdejo de agricultura ecológica.
Crianza durante 4 meses con sus lías.",La tortuga veloz,750ml,Verdejo,19.8,blanco,DO RUEDA,true
1232,,El canto del grillo,"100% Chardonnay.
Crianza durante  6 meses en botas de roble con sus lías.",El canto del grillo,750ml,Chardonnay,39.5,blanco,DO SOMONTANO,true
1233,,Terras Gauda O rosal,"70% Albariño, Caiño i Loureiro.
Joven sin crianza.",Terras Gauda O rosal,750ml,Albariño,24.8,blanco,DO RIAS BAIXAS,true
1234,,La mar,"97% Caíño blanco, albariño y Loureiro. Crianza durante 6 meses en depósitos con sus lías.",La mar,750ml,"Caíño ",37,blanco,DO RIAS BAIXAS,true
1235,,Emilio Moro El Zarzal,"100% Godello.
Crianza durante 8 meses en botas de roble con sus lías.",Emilio Moro El Zarzal,750ml,Godello,27.5,blanco,DO BIERZO,true
